player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
executor,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, executor,Higher 14.5 headshots on maps 1+2,2025-09-01T02:16:06Z
executor,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, executor,Lower 14.5 headshots on maps 1+2,2025-09-01T02:16:06Z
d1Ledez,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, d1Ledez,Higher 29.5 kills on maps 1+2,2025-08-31T23:06:07Z
d1Ledez,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, d1Ledez,Lower 29.5 kills on maps 1+2,2025-08-31T23:06:07Z
d1Ledez,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, d1Ledez,Higher 18.0 headshots on maps 1+2,2025-08-31T23:06:07Z
d1Ledez,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, d1Ledez,Lower 18.0 headshots on maps 1+2,2025-08-31T23:06:07Z
sh1ro,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,sh1ro,Higher 33.0 kills on maps 1+2,2025-09-01T02:44:01Z
sh1ro,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,sh1ro,Lower 33.0 kills on maps 1+2,2025-09-01T02:44:01Z
sh1ro,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,sh1ro,Higher 10.5 headshots on maps 1+2,2025-08-31T23:06:18Z
sh1ro,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,sh1ro,Lower 10.5 headshots on maps 1+2,2025-08-31T23:06:18Z
frozen,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,frozen,Higher 27.5 kills on maps 1+2,2025-08-31T23:08:27Z
frozen,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,frozen,Lower 27.5 kills on maps 1+2,2025-08-31T23:08:27Z
frozen,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,frozen,Higher 14.0 headshots on maps 1+2,2025-08-31T14:00:13Z
frozen,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,frozen,Lower 14.0 headshots on maps 1+2,2025-08-31T14:00:13Z
molodoy,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, molodoy,Higher 31.0 kills on maps 1+2,2025-09-01T00:29:12Z
molodoy,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, molodoy,Lower 31.0 kills on maps 1+2,2025-09-01T00:29:12Z
molodoy,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, molodoy,Higher 11.5 headshots on maps 1+2,2025-08-31T23:06:01Z
molodoy,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, molodoy,Lower 11.5 headshots on maps 1+2,2025-08-31T23:06:01Z
malbsMd,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,malbsMd,Higher 27.5 kills on maps 1+2,2025-08-31T23:06:18Z
malbsMd,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,malbsMd,Lower 27.5 kills on maps 1+2,2025-08-31T23:06:18Z
malbsMd,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,malbsMd,Higher 17.5 headshots on maps 1+2,2025-08-31T23:06:18Z
malbsMd,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,malbsMd,Lower 17.5 headshots on maps 1+2,2025-08-31T23:06:18Z
zweih,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, zweih,Higher 29.5 kills on maps 1+2,2025-08-31T23:06:18Z
zweih,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, zweih,Lower 29.5 kills on maps 1+2,2025-08-31T23:06:18Z
zweih,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, zweih,Higher 15.5 headshots on maps 1+2,2025-08-31T23:06:18Z
zweih,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, zweih,Lower 15.5 headshots on maps 1+2,2025-08-31T23:06:18Z
flameZ,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,flameZ,Higher 28.0 kills on maps 1+2,2025-08-31T23:29:28Z
flameZ,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,flameZ,Lower 28.0 kills on maps 1+2,2025-08-31T23:29:28Z
flameZ,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,flameZ,Higher 15.5 headshots on maps 1+2,2025-09-01T02:43:09Z
flameZ,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,flameZ,Lower 15.5 headshots on maps 1+2,2025-09-01T02:43:09Z
Norwi,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, Norwi,Higher 25.5 kills on maps 1+2,2025-08-31T23:06:19Z
Norwi,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, Norwi,Lower 25.5 kills on maps 1+2,2025-08-31T23:06:19Z
Norwi,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, Norwi,Higher 11.5 headshots on maps 1+2,2025-08-31T23:28:03Z
Norwi,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, Norwi,Lower 11.5 headshots on maps 1+2,2025-08-31T23:28:03Z
KSCerato,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,KSCerato,Higher 29.5 kills on maps 1+2,2025-08-31T23:06:01Z
KSCerato,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,KSCerato,Lower 29.5 kills on maps 1+2,2025-08-31T23:06:01Z
KSCerato,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,KSCerato,Higher 15.5 headshots on maps 1+2,2025-08-31T23:06:01Z
KSCerato,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,KSCerato,Lower 15.5 headshots on maps 1+2,2025-08-31T23:06:01Z
nota,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, nota,Higher 27.5 kills on maps 1+2,2025-08-31T23:06:07Z
nota,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, nota,Lower 27.5 kills on maps 1+2,2025-08-31T23:06:07Z
nota,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, nota,Higher 17.0 headshots on maps 1+2,2025-08-31T23:28:27Z
nota,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, nota,Lower 17.0 headshots on maps 1+2,2025-08-31T23:28:27Z
bluewh1te,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, bluewh1te,Higher 31.0 kills on maps 1+2,2025-09-01T00:30:00Z
bluewh1te,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, bluewh1te,Lower 31.0 kills on maps 1+2,2025-09-01T00:30:00Z
bluewh1te,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, bluewh1te,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
bluewh1te,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, bluewh1te,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
